agda,196940
ghc,140826
gcc-xtensa-lx106,100434
fricas,98422
gcc-13,93498
grass,91182
haskell-opengl,84620
haxml,83574
gcc-12-cross-mipsen,82570
grub2,78026
pandoc,72060
haskell-gtk,69968
haskell-graphviz,69872
gcc-riscv64-unknown-elf,65558
haskell-gtk3,63092
darcs,59340
metaeuk,52298
uuagc,50548
gcc-10-cross,50546
propellor,50370
haskell-cryptol,48194
qtcreator,47444
gcc-9,47294
haskell-gi-gtk,46136
gcc-11-cross-mipsen,45476
haskell-lambdahack,40574
gcc-13-cross,38322
haskell-sbv,37230
gcc-10,36962
gcc-11,35942
haskell-text-icu,35636
yi,35546
haskell-gi-glib,35498
gcc-13-cross-ports,34618
gcc-12,32924
haskell-stack,32720
pulseaudio,30320
haskell-sdl,30236
scalapack,29972
haskell-gi-gio,29890
binutils,27158
haskell-aws,26836
systemd,26660
haskell-gi-gdk,26586
atheme-services,25838
haskell-curl,25584
bind9,25490
haskell-tls,25150
gcc-10-cross-mipsen,24726
gcc-9-cross,24446
gcc-10-cross-ports,23768
gcc-9-cross-mipsen,23100
dbus,22842
gcc-9-cross-ports,22404
kamailio,22398
haskell-cabal-install,22300
inspircd,21382
allure,20972
libreoffice,20738
kraft,20588
gst-plugins-bad1.0,20054
mmseqs2,19858
haskell-glut,19702
haskell-what4,19586
gcc-8,19280
haskell-github,18820
haskell-openglraw,18438
gcc-6,18422
glibc,18232
haskell-gi-atk,17936
gcc-arm-none-eabi,17860
glirc,17486
haskell-language-c,17154
llvm-toolchain-6.0,17116
gcc-7,17000
haskell-sdl2,16962
amanda,16768
haskell-swish,15990
nmh,15492
hlint,15412
haskell-gi-pango,15090
gcc-8-cross,14992
binutils-mipsen,14448
xmobar,14418
haskell-clash-ghc,14310
haskell-ghc-events,14290
ns3,14172
haskell-hledger,14096
haskell-hopenpgp,14022
dpdk,13946
llvm-toolchain-7,13874
haskell-cryptonite,13670
mesa,13520
gst-plugins-good1.0,13510
haskell-hpack,13300
haskell-yi-core,13184
haskell-cairo,13124
shellcheck,13062
haskell-hxt,13010
acl2,12978
gcc-11-cross,12952
syslog-ng,12860
openfoam,12736
haskell-vty,12586
haskell-gio,12204
links2,12196
lsp-plugins,12130
hol88,12016
libvirt,11922
guile-3.0,11912
mia,11896
python-scipy,11800
gcc-11-cross-ports,11780
haskell-cabal,11738
haskell-chart,11706
haskell-hint,11678
kgames,11598
gcc-12-cross,11188
espresso,11186
haskell-juicypixels,11130
yuzu,11110
binutils-arm-none-eabi,11084
haskell-http2,10938
haskell-lens,10732
haskell-gloss,10704
haskell-ncurses,10680
haskell-pango,10518
openms,10514
util-linux,10452
haskell-hakyll,10444
gcc-4.9,10434
haskell-debian,10398
